iter	RMSE
0	2.178566122
1	2.15012518
2	2.12468552
3	2.099778104
4	2.081423346
5	2.054892265
6	2.034944498
7	2.009989989
8	1.986458331
9	1.966825004
10	1.943802289
11	1.929393112
12	1.909451032
13	1.894775964
14	1.872423029
15	1.849198229
16	1.838461403
17	1.817286652
18	1.801554198
19	1.789722406
20	1.780778419
21	1.772758647
22	1.756276834
23	1.738302238
24	1.721578565
25	1.702560914
26	1.688656723
27	1.679379979
28	1.666252123
29	1.650712065
30	1.64053005
31	1.623110464
32	1.608315155
33	1.599587647
34	1.584384545
35	1.574329753
36	1.568115091
37	1.554257608
38	1.547100358
39	1.537098408
40	1.525734277
41	1.516254033
42	1.504071174
43	1.490031325
44	1.475813497
45	1.45881407
46	1.445004051
47	1.429668813
48	1.425454466
49	1.415620036
50	1.406304257
51	1.391930832
52	1.379058765
53	1.371915999
54	1.364931319
55	1.351881876
56	1.337715989
57	1.332592973
58	1.323060051
59	1.316737141
60	1.309704198
61	1.305129312
62	1.297479206
63	1.290153076
64	1.282559572
65	1.272250149
66	1.263296435
67	1.252204153
68	1.244971854
69	1.2394966
70	1.234201745
71	1.223735687
72	1.212107299
73	1.207128079
74	1.201434117
75	1.190499903
76	1.185391637
77	1.179027365
78	1.174102407
79	1.168967246
80	1.161034897
81	1.15551799
82	1.148183615
83	1.140880131
84	1.134153583
85	1.125851499
86	1.120414218
87	1.111513108
88	1.105857367
89	1.099346826
90	1.094949078
91	1.089233514
92	1.080859511
93	1.072857544
94	1.066812921
95	1.064225128
96	1.058832462
97	1.0516997
98	1.045228454
99	1.036764066
100	1.030861264
101	1.027157891
102	1.020951858
103	1.014086866
104	1.009820776
105	1.004548651
106	0.9995062344
107	0.9960307357
108	0.9915337811
109	0.9855549767
110	0.9822165214
111	0.9764172285
112	0.9724328741
113	0.9650056317
114	0.9615670124
115	0.9581221345
116	0.9510949141
117	0.9456282554
118	0.9421921146
119	0.9362118533
120	0.9308178497
121	0.9279170759
122	0.9206036547
123	0.9146263152
124	0.9103452028
125	0.9060349562
126	0.9003373682
127	0.8978057866
128	0.8928000866
129	0.8869669075
130	0.8836614092
131	0.8805261713
132	0.8766985889
133	0.8726546361
134	0.8685112915
135	0.8632614998
136	0.8605227323
137	0.8569847066
138	0.850521762
139	0.8474591117
140	0.8438935094
141	0.8399429444
142	0.8351407424
143	0.8291905784
144	0.8245796541
145	0.8221796262
146	0.8177258319
147	0.8145769822
148	0.8104457337
149	0.8079977632
150	0.8026798944
151	0.7979070718
152	0.7909246988
153	0.7877587595
154	0.7839849643
155	0.7792339883
156	0.7749259159
157	0.7702928897
158	0.7661454694
159	0.7613529251
160	0.7595972004
161	0.7558535872
162	0.7509553082
163	0.7470617309
164	0.7453858369
165	0.7416174162
166	0.7375996762
167	0.7329347094
168	0.7298444343
169	0.7263311169
170	0.7228752377
171	0.7181141373
172	0.7133493495
173	0.7112597827
174	0.7060098055
175	0.7029676263
176	0.6997858241
177	0.695687862
178	0.6915501585
179	0.6875788174
180	0.683269781
181	0.6804721957
182	0.6770691233
183	0.6737194093
184	0.6694495264
185	0.6654655683
186	0.6613731438
187	0.6594760325
188	0.6578514994
189	0.6546220945
190	0.6505990662
191	0.6473417396
192	0.643161073
193	0.6386302852
194	0.6339420742
195	0.6328729601
196	0.6298841465
197	0.6265185387
198	0.6230613134
199	0.619419931
200	0.6158558097
201	0.6130620557
202	0.6090113796
203	0.604536783
204	0.6015019526
205	0.5976271159
206	0.5948222498
207	0.5927336803
208	0.5903371623
209	0.5872925586
210	0.5844294448
211	0.5809864011
212	0.5794403216
213	0.576848198
214	0.5741078395
215	0.5715761093
216	0.5687628949
217	0.5646240485
218	0.5609711673
219	0.5581620106
220	0.5554163238
221	0.553054544
222	0.5500413058
223	0.5461362518
224	0.5429749456
225	0.5425547487
226	0.5391617794
227	0.5368716782
228	0.5346525681
229	0.5309431152
230	0.5283974247
231	0.5258871402
232	0.5233219705
233	0.5212144389
234	0.519117229
235	0.5172337869
236	0.5153085508
237	0.5128728533
238	0.5108627996
239	0.5077184995
240	0.5049131409
241	0.5027943431
242	0.4999206931
243	0.4975630294
244	0.4954899741
245	0.4937024345
246	0.4918666138
247	0.490411471
248	0.4872346504
249	0.4850807402
250	0.4820378271
251	0.479744806
252	0.4772092039
253	0.47373447
254	0.4718795197
255	0.4692940841
256	0.4665432975
257	0.4643927748
258	0.4623847557
259	0.4607420774
260	0.4588415297
261	0.4574643097
262	0.4551122071
263	0.4542875324
264	0.4514638389
265	0.4489250117
266	0.4476162879
267	0.4463426524
268	0.4443195769
269	0.4425405177
270	0.439698707
271	0.4386063833
272	0.4370769377
273	0.4357680562
274	0.4330772086
275	0.4313148328
276	0.4305492733
277	0.4291035238
278	0.4277110775
279	0.42616914
280	0.4257964606
281	0.4242661826
282	0.4222073195
283	0.4201004085
284	0.4179621385
285	0.4166149506
286	0.4143662261
287	0.4131444107
288	0.4113173126
289	0.4102799549
290	0.4086545795
291	0.4070486379
292	0.4042128985
293	0.4032287327
294	0.4022437127
295	0.4009752186
296	0.3999816014
297	0.3980784735
298	0.3961906935
299	0.3945696966
300	0.3919712495
301	0.3902608526
302	0.3888895965
303	0.38670497
304	0.3851493226
305	0.3835588293
306	0.3828037173
307	0.3810207254
308	0.3789920726
309	0.3775684068
310	0.3764963872
311	0.3745681491
312	0.3737983682
313	0.3722559455
314	0.3707308253
315	0.3698708238
316	0.3674405988
317	0.3665624261
318	0.365222552
319	0.3631521868
320	0.361505218
321	0.3600313859
322	0.358446107
323	0.3565532948
324	0.3546857804
325	0.3527656893
326	0.3514624047
327	0.35005363
328	0.3489498197
329	0.3479812397
330	0.3467164422
331	0.3449057578
332	0.343882824
333	0.3425848661
334	0.3407722467
335	0.3396973749
336	0.3386512203
337	0.3375888786
338	0.3363045001
339	0.3349969871
340	0.3338933937
341	0.3318883257
342	0.3305039366
343	0.329269523
344	0.3275052958
345	0.326413308
346	0.3253560342
347	0.3239583547
348	0.3230653533
349	0.3219315636
350	0.3199387559
351	0.318173898
352	0.3175086127
353	0.3161745602
354	0.3156368159
355	0.3151815305
356	0.314664248
357	0.3127960426
358	0.3120097611
359	0.3111980297
360	0.3102073253
361	0.3092068829
362	0.3083129019
363	0.3065155478
364	0.305751177
365	0.3048784152
366	0.303668074
367	0.3021583984
368	0.301580618
369	0.299951779
370	0.2995084105
371	0.2988007049
372	0.2969099167
373	0.295620651
374	0.2949325602
375	0.2939194222
376	0.2924239703
377	0.2907661968
378	0.2897755398
379	0.2890455127
380	0.2875331625
381	0.2865742808
382	0.2859725187
383	0.2847873811
384	0.2840342847
385	0.2832123516
386	0.2823540423
387	0.2814033495
388	0.280886294
389	0.2799403716
390	0.2787055332
391	0.2778205162
392	0.276974212
393	0.2764071053
394	0.2756011083
395	0.2743569366
396	0.2733817599
397	0.2723686294
398	0.2711517589
399	0.2704845763
400	0.2700675984
401	0.2681973738
402	0.2674875399
403	0.2662883337
404	0.2648439964
405	0.2640043512
406	0.2632268884
407	0.2623957966
408	0.2614306708
409	0.2601693086
410	0.2592749243
411	0.258175165
412	0.2567790427
413	0.2559915507
414	0.2552504345
415	0.2539650738
416	0.2528524535
417	0.2518328928
418	0.2507807898
419	0.2502348342
420	0.2496216431
421	0.2488231502
422	0.2480352281
423	0.2469962846
424	0.2466122268
425	0.2455478517
426	0.2445888992
427	0.2436032857
428	0.2428083211
429	0.2418754841
430	0.2408530762
431	0.2400989534
432	0.2390486144
433	0.2383515911
434	0.237616084
435	0.236862562
436	0.2362717641
437	0.2356856675
438	0.2346639628
439	0.2334970631
440	0.2322745612
441	0.2317132054
442	0.2308107883
443	0.2299288238
444	0.2290019147
445	0.2284396648
446	0.2275771182
447	0.2268083414
448	0.2262364794
449	0.2250603506
450	0.2242256402
451	0.2235544661
452	0.2225682542
453	0.2223683475
454	0.2210213711
455	0.2196199871
456	0.2186505369
457	0.2180430633
458	0.2177451493
459	0.2168118753
460	0.2165235272
461	0.2150516055
462	0.2137831258
463	0.2131678069
464	0.211936652
465	0.2110053735
466	0.210536116
467	0.2102067854
468	0.2091152921
469	0.2085084954
470	0.2073249448
471	0.2067102559
472	0.2063022915
473	0.2055607537
474	0.2047480889
475	0.2036864461
476	0.2026119989
477	0.2016804968
478	0.2004800846
479	0.1999351943
480	0.1992798641
481	0.1987101628
482	0.1978908451
483	0.1972863243
484	0.1967109099
485	0.1959769427
486	0.1952659742
487	0.1944076128
488	0.1934473669
489	0.192742323
490	0.1918938029
491	0.1909701438
492	0.1900102448
493	0.1890340679
494	0.1884600566
495	0.1877634793
496	0.1868131889
497	0.1860655372
498	0.1854323839
499	0.1842888013
500	0.1835690739
501	0.1830793011
502	0.1819867822
503	0.1810779916
504	0.1808731595
505	0.1803691766
506	0.1801127369
507	0.1792414369
508	0.1784406489
509	0.1780208836
510	0.177363039
