iter	Passed	Remaining
0	206	205980
1	207	103343
2	207	69045
3	208	51910
4	209	41619
5	209	34752
6	210	29883
7	211	26201
8	211	23338
9	212	21051
10	213	19190
11	214	17636
12	214	16319
13	215	15192
14	216	14212
15	217	13353
16	217	12596
17	218	11928
18	219	11332
19	220	10794
20	221	10303
21	221	9854
22	222	9447
23	223	9076
24	224	8736
25	224	8417
26	225	8123
27	226	7849
28	226	7592
29	227	7357
30	228	7134
31	228	6924
32	229	6727
33	230	6542
34	231	6369
35	231	6203
36	232	6046
37	232	5898
38	233	5758
39	234	5626
40	235	5499
41	235	5377
42	236	5261
43	237	5151
44	237	5047
45	238	4950
46	239	4856
47	240	4764
48	240	4675
49	241	4589
50	242	4506
51	242	4427
52	243	4351
53	244	4278
54	244	4207
55	245	4140
56	246	4074
57	246	4011
58	247	3949
59	248	3889
60	248	3832
61	249	3776
62	250	3721
63	250	3669
64	251	3621
65	252	3574
66	253	3528
67	254	3482
68	254	3437
69	255	3393
70	256	3350
71	256	3308
72	257	3268
73	258	3228
74	258	3190
75	259	3154
76	260	3119
77	260	3083
78	261	3048
79	262	3014
80	262	2981
81	263	2949
82	264	2918
83	264	2888
84	265	2857
85	266	2829
86	267	2802
87	267	2773
88	268	2746
89	269	2719
90	269	2694
91	270	2669
92	271	2644
93	271	2618
94	272	2594
95	273	2570
96	273	2547
97	274	2524
98	274	2502
99	275	2480
100	276	2459
101	276	2437
102	277	2417
103	278	2396
104	279	2379
105	279	2360
106	280	2342
107	281	2324
108	282	2305
109	282	2285
110	283	2267
111	283	2249
112	284	2232
113	285	2216
114	285	2199
115	286	2183
116	287	2166
117	287	2150
118	288	2135
119	289	2120
120	289	2105
121	290	2090
122	291	2075
123	291	2060
124	292	2045
125	292	2031
126	293	2018
127	294	2005
128	295	1992
129	295	1979
130	296	1966
131	297	1953
132	297	1940
133	298	1929
134	299	1917
135	299	1905
136	300	1893
137	301	1881
138	301	1870
139	302	1858
140	303	1847
141	303	1836
142	304	1825
143	305	1814
144	305	1803
145	306	1793
146	307	1782
147	307	1772
148	308	1762
149	309	1752
150	310	1743
151	310	1733
152	311	1723
153	312	1714
154	312	1704
155	313	1695
156	313	1685
157	314	1676
158	315	1667
159	315	1658
160	316	1649
161	317	1641
162	317	1632
163	318	1623
164	319	1615
165	319	1606
166	320	1598
167	321	1589
168	321	1582
169	322	1573
170	323	1566
171	323	1558
172	324	1551
173	325	1545
174	326	1537
175	326	1530
176	327	1522
177	328	1515
178	328	1508
179	329	1500
180	330	1493
181	330	1487
182	331	1480
183	332	1473
184	332	1466
185	333	1460
186	334	1454
187	335	1447
188	335	1441
189	336	1435
190	337	1429
191	338	1424
192	339	1418
193	340	1412
194	340	1406
195	341	1400
196	342	1394
197	342	1388
198	343	1382
199	344	1376
200	344	1370
201	345	1363
202	345	1357
203	346	1352
204	347	1346
205	347	1340
206	348	1334
207	349	1329
208	349	1323
209	350	1317
210	350	1312
211	351	1307
212	352	1301
213	353	1297
214	353	1291
215	354	1286
216	355	1281
217	355	1276
218	356	1271
219	357	1266
220	357	1261
221	358	1256
222	359	1251
223	359	1246
224	360	1241
225	360	1235
226	361	1230
227	362	1225
228	362	1221
229	363	1216
230	364	1211
231	364	1207
232	365	1202
233	365	1198
234	367	1195
235	368	1191
236	369	1188
237	370	1184
238	370	1180
239	371	1176
240	372	1171
241	372	1167
242	373	1163
243	374	1159
244	375	1155
245	375	1151
246	377	1149
247	377	1145
248	378	1141
249	379	1138
250	380	1134
251	381	1131
252	381	1127
253	383	1124
254	383	1121
255	384	1117
256	385	1114
257	385	1109
258	386	1106
259	387	1102
260	388	1098
261	388	1094
262	389	1090
263	389	1087
264	390	1083
265	391	1079
266	391	1075
267	392	1072
268	393	1068
269	393	1064
270	394	1061
271	395	1058
272	395	1054
273	396	1051
274	397	1048
275	408	1072
276	409	1069
277	410	1066
278	411	1062
279	411	1059
280	412	1055
281	413	1052
282	414	1049
283	415	1046
284	415	1043
285	416	1040
286	417	1036
287	417	1033
288	418	1029
289	419	1026
290	419	1023
291	420	1019
292	421	1016
293	422	1013
294	422	1010
295	423	1007
296	424	1003
297	424	1001
298	425	998
299	426	994
300	426	991
301	427	989
302	428	986
303	429	983
304	430	980
305	431	977
306	431	974
307	432	972
308	433	969
309	434	966
310	434	963
311	435	960
312	436	957
